Months,Model
12.511080228949094,Multivariate
15.231284418342904,Multivariate
30.058321279396004,Multivariate
30.058213614753654,Multivariate
8.697019801546595,Multivariate
3.8694272315399907,Multivariate
11.518462933198405,Multivariate
19.911889723820217,Multivariate
15.462202738436634,Multivariate
16.81454299968798,Multivariate
24.314427430454586,Multivariate
7.278966110794993,Multivariate
22.27888111403137,Multivariate
22.680248713726648,Multivariate
10.541417610982858,Multivariate
14.5760001517796,Multivariate
10.557895229665277,Multivariate
12.90626705078117,Multivariate
11.63422531458305,Multivariate
17.654730955152882,Multivariate
28.802336371093503,Multivariate
10.038111868737502,Multivariate
9.29615924943834,Multivariate
10.79592424613572,Multivariate
18.881972234074965,Multivariate
15.983303760933074,Forest
15.994380881703803,Forest
14.430602088614316,Forest
14.481988544383812,Forest
27.32894460525443,Forest
14.551320186258863,Forest
31.051196220961927,Forest
28.282838019412107,Forest
63.11439142857142,Forest
21.61136200354782,Forest
54.09397831182671,Forest
25.84741361411518,Forest
28.364209152564907,Forest
60.055787413419914,Forest
31.05025911403465,Forest
29.500364467603244,Forest
27.99436054505451,Forest
58.990421251488506,Forest
14.719595481765232,Forest
17.66603043964982,Forest
7.6652972216238116,Forest
14.795363586911044,Forest
13.722014787455027,Forest
16.441395474737455,Forest
14.650561189727902,Forest
11.210375947202026,Forest
9.585344370610786,Forest
26.371018215778946,Forest
14.900124150746116,Forest
14.425500232662916,Forest
10.314034639299509,Forest
20.67569685842571,Forest
25.266403447570305,Forest
7.782469741964583,Forest
13.582403248363763,Forest
25.816697314215048,Forest
14.767960215459885,Forest
37.41181657166431,Forest
26.878252171959986,Forest
11.743566995217238,Forest
10.364960356223031,Forest
16.62994819218005,Forest
28.99575406456005,Forest
54.83801252933057,Forest
20.8219401202215,Forest
23.4182946235075,Forest
37.54140895253811,Forest
20.26120899118417,Forest
53.39415781746031,Forest
19.127243405228867,Forest
16.346355868079403,Forest
27.147791920388727,Forest
55.23430976984125,Forest
15.261124819403873,Forest
14.738559851013411,Forest
15.31709619155027,Forest
57.0875455872373,Forest
52.95376381435763,Forest
15.831861775957039,Forest
42.95191343052319,Forest
15.265088522607655,Forest
