Study ID	Patient ID	Sample ID	Mutation Count
gbm_tcga	TCGA-32-4209	TCGA-32-4209-01	44
gbm_tcga	TCGA-32-4210	TCGA-32-4210-01	90
gbm_tcga	TCGA-32-4211	TCGA-32-4211-01	92
gbm_tcga	TCGA-32-4213	TCGA-32-4213-01	66
gbm_tcga	TCGA-32-4719	TCGA-32-4719-01	46
gbm_tcga	TCGA-41-2572	TCGA-41-2572-01	60
gbm_tcga	TCGA-41-3393	TCGA-41-3393-01	76
gbm_tcga	TCGA-41-3915	TCGA-41-3915-01	56
gbm_tcga	TCGA-41-4097	TCGA-41-4097-01	69
gbm_tcga	TCGA-06-0152	TCGA-06-0152-01	56
gbm_tcga	TCGA-06-0238	TCGA-06-0238-01	41
gbm_tcga	TCGA-06-0644	TCGA-06-0644-01	54
gbm_tcga	TCGA-06-0645	TCGA-06-0645-01	53
gbm_tcga	TCGA-06-0646	TCGA-06-0646-01	41
gbm_tcga	TCGA-06-0648	TCGA-06-0648-01	63
gbm_tcga	TCGA-08-0386	TCGA-08-0386-01	11
gbm_tcga	TCGA-12-0615	TCGA-12-0615-01	56
gbm_tcga	TCGA-12-0616	TCGA-12-0616-01	40
gbm_tcga	TCGA-12-0618	TCGA-12-0618-01	55
gbm_tcga	TCGA-12-0619	TCGA-12-0619-01	59
gbm_tcga	TCGA-06-5414	TCGA-06-5414-01	39
gbm_tcga	TCGA-06-5415	TCGA-06-5415-01	47
gbm_tcga	TCGA-06-5417	TCGA-06-5417-01	52
gbm_tcga	TCGA-06-5418	TCGA-06-5418-01	44
gbm_tcga	TCGA-12-5295	TCGA-12-5295-01	71
gbm_tcga	TCGA-12-5299	TCGA-12-5299-01	37
gbm_tcga	TCGA-12-5301	TCGA-12-5301-01	66
gbm_tcga	TCGA-26-5132	TCGA-26-5132-01	48
gbm_tcga	TCGA-26-5133	TCGA-26-5133-01	51
gbm_tcga	TCGA-26-5134	TCGA-26-5134-01	52
gbm_tcga	TCGA-26-5135	TCGA-26-5135-01	58
gbm_tcga	TCGA-26-5136	TCGA-26-5136-01	54
gbm_tcga	TCGA-26-5139	TCGA-26-5139-01	40
gbm_tcga	TCGA-28-5204	TCGA-28-5204-01	44
gbm_tcga	TCGA-28-5207	TCGA-28-5207-01	53
gbm_tcga	TCGA-28-5208	TCGA-28-5208-01	64
gbm_tcga	TCGA-28-5209	TCGA-28-5209-01	94
gbm_tcga	TCGA-28-5213	TCGA-28-5213-01	47
gbm_tcga	TCGA-28-5214	TCGA-28-5214-01	40
gbm_tcga	TCGA-28-5215	TCGA-28-5215-01	35
gbm_tcga	TCGA-28-5216	TCGA-28-5216-01	44
gbm_tcga	TCGA-28-5218	TCGA-28-5218-01	29
gbm_tcga	TCGA-28-5219	TCGA-28-5219-01	53
gbm_tcga	TCGA-28-5220	TCGA-28-5220-01	41
gbm_tcga	TCGA-32-5222	TCGA-32-5222-01	74
gbm_tcga	TCGA-76-4925	TCGA-76-4925-01	61
gbm_tcga	TCGA-76-4926	TCGA-76-4926-01	57
gbm_tcga	TCGA-76-4927	TCGA-76-4927-01	50
gbm_tcga	TCGA-76-4928	TCGA-76-4928-01	80
gbm_tcga	TCGA-76-4929	TCGA-76-4929-01	49
gbm_tcga	TCGA-76-4931	TCGA-76-4931-01	39
